timestamp,pitch_hz,confidence,voiced
6.3120,818.60,0.1354,false
6.3280,106.83,0.3389,false
6.3440,106.68,0.3479,false
6.3600,105.36,0.3722,false
6.3760,104.65,0.3794,false
6.3920,104.29,0.4109,false
6.4080,103.85,0.4543,false
6.4240,104.28,0.4102,false
6.4400,104.01,0.3911,false
6.4560,103.01,0.4180,false
6.4720,102.36,0.4583,false
6.4880,102.15,0.4951,false
6.5040,101.99,0.4874,false
6.5200,102.21,0.4853,false
6.5360,102.65,0.5038,false
6.5520,102.66,0.5070,false
6.5680,102.42,0.5139,false
6.5840,102.26,0.5317,false
6.6000,102.45,0.5698,false
6.6160,102.12,0.5793,false
6.6320,101.82,0.5702,false
6.6480,101.91,0.5971,false
6.6640,102.01,0.5822,false
6.6800,102.22,0.5139,false
6.6960,102.75,0.4508,false
6.7120,102.85,0.3869,false
6.7280,102.60,0.3420,false
6.7440,102.33,0.3623,false
6.7600,102.00,0.3808,false
6.7760,101.83,0.3451,false
6.7920,101.96,0.3461,false
6.8080,101.98,0.3638,false
6.8240,810.67,0.3116,false
6.8400,812.38,0.2817,false
6.8560,101.97,0.3410,false
6.8720,101.48,0.4363,false
6.8880,101.49,0.4414,false
6.9040,101.93,0.4065,false
6.9200,102.74,0.3730,false
6.9360,103.02,0.3733,false
6.9520,103.00,0.3752,false
6.9680,102.64,0.4217,false
6.9840,102.00,0.4694,false
7.0000,101.99,0.4520,false
7.0160,101.91,0.3791,false
7.0320,101.71,0.2447,false
7.0480,200.64,0.3276,false
7.0640,200.69,0.3860,false
7.0800,398.14,0.5119,false
7.0960,398.38,0.6098,false
7.1120,398.43,0.6249,false
7.1280,398.26,0.6069,false
7.1440,398.62,0.7926,false
7.1600,398.83,0.9169,true
7.1760,399.03,0.9478,true
7.1920,398.97,0.9536,true
7.2080,399.75,0.9211,true
7.2240,402.91,0.8770,false
7.2400,405.33,0.9053,true
7.2560,407.02,0.9530,true
7.2720,410.12,0.9737,true
7.2880,412.39,0.9857,true
7.3040,413.03,0.9896,true
7.3200,413.10,0.9873,true
7.3360,413.11,0.9728,true
7.3520,413.13,0.9249,true
7.3680,413.21,0.8244,false
7.3840,413.20,0.5925,false
7.4000,413.38,0.3054,false
7.4160,414.48,0.2120,false
7.4320,107.66,0.4778,false
7.4480,103.82,0.6154,false
7.4640,102.39,0.6899,false
7.4800,102.56,0.5942,false
7.4960,102.70,0.3944,false
7.5120,102.26,0.2726,false
7.5280,102.59,0.2013,false
7.5440,823.53,0.3017,false
7.5600,819.41,0.3096,false
7.5760,812.12,0.2761,false
7.5920,103.76,0.3581,false
7.6080,105.10,0.5549,false
7.6240,105.43,0.7724,false
7.6400,106.28,0.8260,false
7.6560,327.91,0.3500,false
7.6720,328.39,0.6371,false
7.6880,328.52,0.8101,false
7.7040,328.57,0.8780,false
7.7200,328.59,0.8730,false
7.7360,328.62,0.7503,false
7.7520,328.62,0.7423,false
7.7680,328.60,0.7852,false
7.7840,328.61,0.6955,false
7.8000,328.61,0.6438,false
7.8160,328.61,0.6263,false
7.8320,328.63,0.6962,false
7.8480,328.63,0.6561,false
7.8640,328.64,0.4323,false
7.8800,437.55,0.5843,false
7.8960,437.55,0.8125,false
7.9120,437.55,0.9369,true
7.9280,437.55,0.9792,true
7.9440,437.55,0.9926,true
7.9600,437.56,0.9981,true
7.9760,437.56,0.9995,true
7.9920,437.56,0.9998,true
8.0080,437.56,0.9999,true
8.0240,437.58,0.9999,true
8.0400,437.70,0.9999,true
8.0560,437.88,0.9999,true
8.0720,437.81,0.9999,true
8.0880,437.74,0.9999,true
8.1040,437.73,0.9998,true
8.1200,437.72,0.9995,true
8.1360,437.70,0.9991,true
8.1520,437.65,0.9989,true
8.1680,437.63,0.9982,true
8.1840,437.62,0.9977,true
8.2000,437.60,0.9967,true
8.2160,437.59,0.9956,true
8.2320,437.59,0.9972,true
8.2480,437.60,0.9977,true
8.2640,437.58,0.9980,true
8.2800,437.56,0.9976,true
8.2960,437.56,0.9965,true
8.3120,437.56,0.9961,true
8.3280,437.56,0.9955,true
